id_programa,nombre_programa,id_area,area_conocimiento_original
194,TECNICO LABORAL EN REPARACION Y MANTENIMIENTO DE COMPUTADORES,27,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
195,CONOCIMIENTOS ACADÉMICOS EN IDIOMA INGLES ENGLISH ZONE NIVEL A2,28,No especificada
196,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
197,LOGISTICA Y DISTRIBUCION,25,FINANZAS Y ADMINISTRACIÓN
198,TÉCNICO LABORAL EN AUXILIAR DE CLINICA VETERINARIA Y CUIDADO DE MASCOTAS,13,VENTAS Y SERVICIOS
199,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL A1-A2,28,No especificada
200,TECNICO LABORAL ESTILISTA INTEGRAL,27,VENTAS Y SERVICIOS
201,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO EN DEPORTES,1,FINANZAS Y ADMINISTRACIÓN
202,LENGUA EXTRANJERA INGLES,28,No especificada
203,TÉCNICO LABORAL EN MAQUILLAJE ARTISTICO Y DECORATIVO,6,VENTAS Y SERVICIOS
204,CONOCIMIENTOS ACADÉMICOS EN IDIOMA INGLES B1,28,No especificada
205,TÉCNICO LABORAL POR COMPENTENCIAS EN ELECTRICIDAD,11,"PROCESAMIENTO, FABRICACIÓN Y ENSAMBLAJE"
206,TÉCNICO LABORAL EN SECRETARIADO AUXILIAR CONTABLE,2,FINANZAS Y ADMINISTRACIÓN
207,AUXILIAR EN ENFERMERIA,13,SALUD
208,TÉCNICO LABORAL EN INFORMÁTICA Y DISEÑO DE SOFTWARE,8,CIENCIAS NATURALES APLICADAS Y RELACIONADAS
209,CONOCIMIENTOS ACADÉMICOS EN ESPAÑOL COMO LENGUA EXTRANJERA C2,28,No especificada
210,TÉCNICO LABORAL EN AUXILIAR EN ENFERMERÍA,13,SALUD
211,TÉCNICO LABORAL POR COMPETENCIAS EN ATENCIÓN A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
212,TÉCNICO LABORAL EN INSPECTOR REGULADOR,3,VENTAS Y SERVICIOS
213,TÉCNICO LABORAL EN PELUQUERIA,6,VENTAS Y SERVICIOS
214,CONOCIMIENTOS ACADÉMICOS EN ESPAÑOL PARA EXTRANJEROS NIVEL C1,28,No especificada
215,TÉCNICO LABORAL EN AUXILIAR EN SALUD ORAL,3,VENTAS Y SERVICIOS
216,TÉCNICO LABORAL EN  AUXILIAR DE AVALUO Y LIQUIDACIÓN,3,VENTAS Y SERVICIOS
217,TÉCNICO LABORAL EN ATENCIÓN INTEGRAL A LA PRIMERA INFANCIA,17,VENTAS Y SERVICIOS
218,TÉCNICO LABORAL EN AUXILIAR RECEPCION HOTELERA,4,VENTAS Y SERVICIOS
219,ADMINISTRACION HOTELERA Y TURISTICA,1,FINANZAS Y ADMINISTRACIÓN
220,TECNICO LABORALPOR COMPETENCIA EN ARCHIVO Y REGISTRO,27,FINANZAS Y ADMINISTRACIÓN
221,CONOCIMIENTOS ACADÉMICOS EN INGLES NIVEL B1,28,No especificada
222,TECNICO LABORAL POR COMPETENCIAS EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
223,TÉCNICO LABORAL EN AUXILIAR EN DISEÑO GRÁFICO PUBLICITARIO,22,"ARTE, CULTURA, ESPARCIMIENTO Y DEPORTES"
224,TÉCNICO LABORAL EN AUXILIAR CONTABLE Y FINANCIERO,2,FINANZAS Y ADMINISTRACIÓN
225,TÉCNICO LABORAL EN ALBAÑILERIA,25,"OFICIOS, OPERACIÓN DE EQUIPO Y TRANSPORTE"
226,TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO EN SALUD,1,SALUD
227,TÉCNICO LABORAL EN AUXILIAR EN SERVICIOS FARMACÉUTICOS,7,SALUD
228,TECNICO LABORAL EN AUXILIAR EN ENFERMERIA,13,SALUD
